"","filename","Persons"
"138","1948//md000895.xml","Ford, George Barry, 1885-1978"
"139","1948//md000895.xml","Hughes, Charles Evans, Jr., 1889-1950"
"140","1948//md000896.xml","Fonda, Henry, 1905-1982"
"141","1948//md000896.xml","Roosevelt, James, 1907-1991"
"142","1948//md000896.xml","Truman, Harry S., 1884-1972"
"143","1948//md000896.xml","Wallace, Henry Agard, 1888-1965"
"144","1948//md000897.xml","na"
"145","1948//md000898.xml","Baldwin, Calvin Benham, 1902-1975"
"146","1948//md000898.xml","Stalin, Joseph, 1879-1953"
"147","1948//md000898.xml","Wallace, Henry Agard, 1888-1965"
"148","1948//md000899.xml","na"
"149","1948//md000900.xml","Disney, Walt, 1901-1966"
"150","1948//md000901.xml","na"
"151","1948//md000902.xml","na"
"152","1948//md000903.xml","na"
"153","1948//md000904.xml","Baldwin, Calvin Benham, 1902-1975"
"154","1948//md000904.xml","Balloch, Edward Arthur, 1857-1948"
"155","1948//md000904.xml","Douglas, Paul H. (Paul Howard), 1892-1976"
"156","1948//md000904.xml","Lightfoot, George Morton, 1868-1947"
"157","1948//md000904.xml","Nelson, William Stuart, 1895-1977"
"158","1948//md000904.xml","Stevenson, Adlai E. (Adlai Ewing), 1900-1965"
"159","1948//md000904.xml","Wallace, Henry Agard, 1888-1965"
"160","1948//md000905.xml","Buck, David T. (educator)"
"161","1948//md000905.xml","Smith, Hilda Worthington"
"162","1948//md000905.xml","Witbeck, Frank"
"163","1948//md000906.xml","Thompson, Malvina, 1893-1953"
"164","1948//md000907.xml","Bethune, Mary McLeod, 1875-1955"
"165","1948//md000908.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"166","1948//md000908.xml","Roosevelt, Theodore, 1858-1919"
"167","1948//md000909.xml","Condon, Edward Uhler, 1902-1974"
"168","1948//md000909.xml","Wallace, Henry Agard, 1888-1965"
"169","1948//md000910.xml","na"
"170","1948//md000911.xml","Douglas, Lewis W. (Lewis Williams), 1894-"
"171","1948//md000912.xml","Benes, Edvard, 1884-1948"
"172","1948//md000912.xml","Masaryk, Jan, 1886-1948"
"173","1948//md000913.xml","Catt, Carrie Chapman, 1859-1947"
"174","1948//md000913.xml","Strauss, Anna Lord, 1899-1979"
"175","1948//md000914.xml","Ely, Gertrude H."
"176","1948//md000914.xml","Hitler, Adolf, 1889-1945"
"177","1948//md000914.xml","Hoffman, Anna Rosenberg, 1902-1983"
"178","1948//md000914.xml","Liberman, Isaac, 1885-1983"
"179","1948//md000914.xml","McBride, Katharine Elizabeth"
"180","1948//md000914.xml","Rutledge, Wiley, 1894-1949"
"181","1948//md000914.xml","Strauss, Anna Lord, 1899-1979"
"182","1948//md000914.xml","Vanderbilt, Alfred Gwynne, 1912-1999"
"183","1948//md000915.xml","Byrnes, James F. (James Francis), 1882-1972"
"184","1948//md000916.xml","Wallace, Henry Agard, 1888-1965"
"185","1948//md000916.xml","Winchell, Walter, 1897-1972"
"186","1948//md000917.xml","na"
"187","1948//md000918.xml","Blanding, Sarah Gibson, 1898-1985"
"188","1948//md000918.xml","Douglas, William O. (William Orville), 1898-"
"189","1948//md000918.xml","Roosevelt George Emlen, 1887-1963"
"190","1948//md000919.xml","Truman, Harry S., 1884-1972"
"191","1948//md000920.xml","Forrestal, James, 1892-1949"
"192","1948//md000921.xml","Burnett, Philip Mason, 1908-2003"
"193","1948//md000921.xml","Cooper, Peter, 1791-1883"
"194","1948//md000921.xml","Hewitt, Edward Ringwood, 1866-1957"
"195","1948//md000921.xml","Hewitt, John"
"196","1948//md000921.xml","Pinchot, Cornelia Bryce, 1881-1960"
"197","1948//md000921.xml","Pinchot, Gifford, 1865-1946"
"198","1948//md000922.xml","Marshall, George C. (George Catlett), 1880-1959"
"199","1948//md000923.xml","Stalin, Joseph, 1879-1953"
"200","1948//md000923.xml","Tito, Josip Broz, 1892-1980"
"201","1948//md000924.xml","Marshall, George C. (George Catlett), 1880-1959"
"202","1948//md000924.xml","Weizmann, Chaim, 1874-1952"
"203","1948//md000925.xml","na"
"204","1948//md000926.xml","na"
"205","1948//md000927.xml","Eisenhower, Dwight D. (Dwight David), 1890-1969"
"206","1948//md000927.xml","Harburg, E. Y. (Edgar Yipsel), 1896-1981"
"207","1948//md000927.xml","Marshall, George C. (George Catlett), 1880-1959"
"208","1948//md000927.xml","Roosevelt, Elliott, 1910-1990"
"209","1948//md000927.xml","Roosevelt, Franklin D. (Franklin Delano), 1914-1988"
"210","1948//md000927.xml","Stephens, James, 1882-1950"
"211","1948//md000927.xml","Truman, Harry S., 1884-1972"
"212","1948//md000928.xml","Chadbourne, William Merriam, 1879-1964"
"213","1948//md000928.xml","Churchill, Clementine, Lady, 1885-1977"
"214","1948//md000928.xml","Churchill, Winston, Sir, 1874-1965"
"215","1948//md000928.xml","Derby, Edward George Villiers Stanley, Earl of, 1865-1948"
"216","1948//md000928.xml","Dick, William Reid, 1879-1961"
"217","1948//md000928.xml","Hooker, Henry S. (Henry Stewart), 1879-1964"
"218","1948//md000928.xml","Lincoln, Abraham, 1809-1865"
"219","1948//md000928.xml","Robinson, Helen Roosevelt, 1881-1962"
"220","1948//md000928.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"221","1948//md000928.xml","Scott, Robert Falcon, 1868-1912"
"222","1948//md000928.xml","Stuart, Campbell, Sir, b. 1885"
"223","1948//md000928.xml","Truman, Harry S., 1884-1972"
"224","1948//md000929.xml","Perkins, Frances, 1880-1965"
"225","1948//md000930.xml","Gregory, George Jr., 1906-1994"
"226","1948//md000930.xml","Hart, Basil"
"227","1948//md000931.xml","Isaacs, Stella, Marchioness of Reading, Baroness Swanborough"
"228","1948//md000931.xml","Mainbocher, 1891-1976"
"229","1948//md000931.xml","Rocco, Maurice"
"230","1948//md000931.xml","Thompson, Malvina, 1893-1953"
"231","1948//md000931.xml","Truman, Harry S., 1884-1972"
"232","1948//md000932.xml","Douglas, Lewis W. (Lewis Williams), 1894-"
"233","1948//md000932.xml","Gallineau, Mr."
"234","1948//md000933.xml","Truman, Harry S., 1884-1972"
"235","1948//md000934.xml","Austin, Warren Robinson, 1877-1962"
"236","1948//md000934.xml","Churchill, Winston, Sir, 1874-1965"
"237","1948//md000934.xml","Elizabeth II, Queen of Great Britain, 1926-"
"238","1948//md000934.xml","Elizabeth, Queen, consort of George VI, King of Great Britain, 1900-2002"
"239","1948//md000934.xml","George VI, King of Great Britain, 1895-1952"
"240","1948//md000934.xml","Margaret, Princess, Countess of Snowdon, 1930-2002"
"241","1948//md000934.xml","Marina, Duchess of Kent, 1906-1968"
"242","1948//md000934.xml","Marshall, George C. (George Catlett), 1880-1959"
"243","1948//md000934.xml","McGrath, J. Howard (James Howard), 1903-1966"
"244","1948//md000934.xml","Pearson, Drew, 1897-1969"
"245","1948//md000934.xml","Philip, Prince, consort of Elizabeth II, Queen of Great Britain, 1921-"
"246","1948//md000934.xml","Truman, Harry S., 1884-1972"
"247","1948//md000934.xml","William I, King of England, 1027 or 8-1087"
"248","1948//md000935.xml","Bevin, Ernest, 1881-1951"
"249","1948//md000935.xml","Douglas, Lewis W. (Lewis Williams), 1894-"
"250","1948//md000936.xml","Dick, William Reid, 1879-1961"
"251","1948//md000936.xml","Franks, Oliver, Baron, 1905-1992"
"252","1948//md000936.xml","Salisbury, Frank O. (Frank Owen), 1874-1962"
"253","1948//md000936.xml","Stuart, Campbell, Sir, b. 1885"
"254","1948//md000937.xml","Attlee, C. R. (Clement Richard), 1883-1967"
"255","1948//md000937.xml","Attlee, Violet Helen 1895-1964"
"256","1948//md000937.xml","Cripps, Isobel, 1891-1979"
"257","1948//md000937.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"258","1948//md000937.xml","Stalin, Joseph, 1879-1953"
"259","1948//md000937.xml","Wallace, Henry Agard, 1888-1965"
"260","1948//md000938.xml","Isaacs, Stella, Marchioness of Reading, Baroness Swanborough"
"261","1948//md000939.xml","Churchill, Winston, Sir, 1874-1965"
"262","1948//md000939.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"263","1948//md000940.xml","Churchill, Winston, Sir, 1874-1965"
"264","1948//md000940.xml","Elizabeth, Queen, consort of George VI, King of Great Britain, 1900-2002"
"265","1948//md000940.xml","Fisher of Lambeth, Geoffrey Francis Fisher, Baron, 1887-1972"
"266","1948//md000940.xml","George VI, King of Great Britain, 1895-1952"
"267","1948//md000940.xml","Hooker, Henry S. (Henry Stewart), 1879-1964"
"268","1948//md000940.xml","Isaacs, Stella, Marchioness of Reading, Baroness Swanborough"
"269","1948//md000940.xml","Masefield, John, 1878-1967"
"270","1948//md000940.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"271","1948//md000940.xml","Stuart, Campbell, Sir, b. 1885"
"272","1948//md000940.xml","Thompson, Malvina, 1893-1953"
"273","1948//md000940.xml","Truman, Harry S., 1884-1972"
"274","1948//md000941.xml","Anderson, John, Sir, 1882-1958"
"275","1948//md000941.xml","Elizabeth, Queen, consort of George VI, King of Great Britain, 1900-2002"
"276","1948//md000941.xml","Gishford, Anthony"
"277","1948//md000941.xml","Nash, Paul, 1889-1946"
